"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",0,0,0,0,5,0,0,0,0,7,0,0,12,1,13,92.31,7.69
"Remigio","2",0,0,0,0,2,0,3,0,0,0,0,0,5,0,5,100,0
"Costa","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Souza","11",0,0,0,0,4,0,0,0,0,2,1,0,7,1,8,87.5,12.5
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,0,2,1,0,0,0,0,0,3,2,5,60,40
"Johnson","17",0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,50,50
"To'oto'o","19",0,0,0,0,4,2,0,0,0,0,0,0,6,2,8,75,25
"Morikawa","20",0,0,0,0,0,1,0,0,0,0,1,0,2,1,3,66.67,33.33
"Kawashima","21",0,0,0,0,3,0,0,0,0,1,0,0,4,3,7,57.14,42.86
"Somerville","23",1,0,0,0,1,1,0,0,0,0,0,0,3,0,3,100,0
"Total","-",1,0,0,0,19,6,4,0,0,10,3,0,43,11,54,79.63,20.37
